WORLD_QUERY4_TOP2_FROM10, Union, Precision=0.5, Recall=1.0
WORLD_QUERY4_TOP2_FROM10, FD, Precision=0.5, Recall=1.0
WORLD_QUERY4_TOP2_FROM10, FDP_Plus, Precision=0.5, Recall=1.0
,,,
WORLD_QUERY4_TOP3_FROM10, Intersection, Precision=1.0, Recall=1.0
WORLD_QUERY4_TOP3_FROM10, Union, Precision=0.5, Recall=1.0
WORLD_QUERY4_TOP3_FROM10, FD, Precision=0.5, Recall=1.0
WORLD_QUERY4_TOP3_FROM10, FDP_Plus, Precision=0.5, Recall=1.0
,,,
WORLD_QUERY4_TOP4_FROM10, Intersection, Precision=0.0, Recall=0.0
WORLD_QUERY4_TOP4_FROM10, Union, Precision=0.5, Recall=1.0
WORLD_QUERY4_TOP4_FROM10, FD, Precision=0.5, Recall=1.0
WORLD_QUERY4_TOP4_FROM10, FDP_Plus, Precision=0.5, Recall=1.0
,,,
WORLD_QUERY4_TOP5_FROM10, Intersection, Precision=0.0, Recall=0.0
WORLD_QUERY4_TOP5_FROM10, Union, Precision=0.0, Recall=0.0
WORLD_QUERY4_TOP5_FROM10, FD, Precision=0.5, Recall=1.0
WORLD_QUERY4_TOP5_FROM10, FDP_Plus, Precision=0.5, Recall=1.0
,,,
WORLD_QUERY4_TOP6_FROM10, Intersection, Precision=0.0, Recall=0.0
WORLD_QUERY4_TOP6_FROM10, Union, Precision=0.0, Recall=0.0
WORLD_QUERY4_TOP6_FROM10, FD, Precision=0.5, Recall=1.0
WORLD_QUERY4_TOP6_FROM10, FDP_Plus, Precision=0.5, Recall=1.0
,,,
WORLD_QUERY4_TOP7_FROM10, Intersection, Precision=0.0, Recall=0.0
WORLD_QUERY4_TOP7_FROM10, Union, Precision=0.0, Recall=0.0
WORLD_QUERY4_TOP7_FROM10, FD, Precision=0.5, Recall=1.0
WORLD_QUERY4_TOP7_FROM10, FDP_Plus, Precision=0.5, Recall=1.0
,,,
WORLD_QUERY4_TOP8_FROM10, Intersection, Precision=0.0, Recall=0.0
WORLD_QUERY4_TOP8_FROM10, Union, Precision=0.0, Recall=0.0
WORLD_QUERY4_TOP8_FROM10, FD, Precision=0.5, Recall=1.0
WORLD_QUERY4_TOP8_FROM10, FDP_Plus, Precision=0.5, Recall=1.0
,,,
WORLD_QUERY4_TOP9_FROM10, Intersection, Precision=0.0, Recall=0.0
WORLD_QUERY4_TOP9_FROM10, Union, Precision=0.0, Recall=0.0
WORLD_QUERY4_TOP9_FROM10, FD, Precision=0.5, Recall=1.0
WORLD_QUERY4_TOP9_FROM10, FDP_Plus, Precision=0.5, Recall=1.0
,,,
WORLD_QUERY4_TOP10_FROM10, Intersection, Precision=0.0, Recall=0.0
WORLD_QUERY4_TOP10_FROM10, Union, Precision=0.0, Recall=0.0
WORLD_QUERY4_TOP10_FROM10, FD, Precision=0.5, Recall=1.0
WORLD_QUERY4_TOP10_FROM10, FDP_Plus, Precision=0.5, Recall=1.0
,,,
WORLD_QUERY5_TOP2_FROM10, Intersection, Precision=0.0, Recall=0.0
WORLD_QUERY5_TOP2_FROM10, Union, Precision=0.08256880733944955, Recall=1.0
WORLD_QUERY5_TOP2_FROM10, FD, Precision=0.08256880733944955, Recall=1.0
WORLD_QUERY5_TOP2_FROM10, FDP_Plus, Precision=0.08256880733944955, Recall=1.0
,,,
WORLD_QUERY5_TOP3_FROM10, Intersection, Precision=0.0, Recall=0.0
WORLD_QUERY5_TOP3_FROM10, Union, Precision=0.08256880733944955, Recall=1.0
WORLD_QUERY5_TOP3_FROM10, FD, Precision=0.08256880733944955, Recall=1.0
WORLD_QUERY5_TOP3_FROM10, FDP_Plus, Precision=0.08256880733944955, Recall=1.0
,,,
WORLD_QUERY5_TOP4_FROM10, Intersection, Precision=0.0, Recall=0.0
WORLD_QUERY5_TOP4_FROM10, Union, Precision=0.0743801652892562, Recall=1.0
WORLD_QUERY5_TOP4_FROM10, FD, Precision=0.0743801652892562, Recall=1.0
WORLD_QUERY5_TOP4_FROM10, FDP_Plus, Precision=0.0743801652892562, Recall=1.0
,,,
WORLD_QUERY5_TOP5_FROM10, Intersection, Precision=0.0, Recall=0.0
WORLD_QUERY5_TOP5_FROM10, Union, Precision=0.0743801652892562, Recall=1.0
WORLD_QUERY5_TOP5_FROM10, FD, Precision=0.0743801652892562, Recall=1.0
WORLD_QUERY5_TOP5_FROM10, FDP_Plus, Precision=0.0743801652892562, Recall=1.0
,,,
WORLD_QUERY5_TOP6_FROM10, Intersection, Precision=0.0, Recall=0.0
WORLD_QUERY5_TOP6_FROM10, Union, Precision=0.0743801652892562, Recall=1.0
WORLD_QUERY5_TOP6_FROM10, FD, Precision=0.0743801652892562, Recall=1.0
WORLD_QUERY5_TOP6_FROM10, FDP_Plus, Precision=0.0743801652892562, Recall=1.0
,,,
WORLD_QUERY5_TOP7_FROM10, Intersection, Precision=0.0, Recall=0.0
WORLD_QUERY5_TOP7_FROM10, Union, Precision=0.0743801652892562, Recall=1.0
WORLD_QUERY5_TOP7_FROM10, FD, Precision=0.0743801652892562, Recall=1.0
WORLD_QUERY5_TOP7_FROM10, FDP_Plus, Precision=0.0743801652892562, Recall=1.0
,,,
WORLD_QUERY5_TOP8_FROM10, Intersection, Precision=0.0, Recall=0.0
WORLD_QUERY5_TOP8_FROM10, Union, Precision=0.0743801652892562, Recall=1.0
WORLD_QUERY5_TOP8_FROM10, FD, Precision=0.0743801652892562, Recall=1.0
WORLD_QUERY5_TOP8_FROM10, FDP_Plus, Precision=0.0743801652892562, Recall=1.0
,,,
WORLD_QUERY5_TOP9_FROM10, Intersection, Precision=0.0, Recall=0.0
WORLD_QUERY5_TOP9_FROM10, Union, Precision=0.0743801652892562, Recall=1.0
WORLD_QUERY5_TOP9_FROM10, FD, Precision=0.0743801652892562, Recall=1.0
WORLD_QUERY5_TOP9_FROM10, FDP_Plus, Precision=0.0743801652892562, Recall=1.0
,,,
WORLD_QUERY5_TOP10_FROM10, Intersection, Precision=0.0, Recall=0.0
WORLD_QUERY5_TOP10_FROM10, Union, Precision=0.0743801652892562, Recall=1.0
WORLD_QUERY5_TOP10_FROM10, FD, Precision=0.0743801652892562, Recall=1.0
WORLD_QUERY5_TOP10_FROM10, FDP_Plus, Precision=0.0743801652892562, Recall=1.0
,,,
WORLD_QUERY6_TOP2_FROM10, Intersection, Precision=0.5, Recall=0.171875
WORLD_QUERY6_TOP2_FROM10, Union, Precision=0.5, Recall=0.171875
WORLD_QUERY6_TOP2_FROM10, FD, Precision=0.5, Recall=0.171875
WORLD_QUERY6_TOP2_FROM10, FDP_Plus, Precision=0.5, Recall=0.171875
,,,
