TPCH_QUERY3_TOP2_FROM10, Union, Precision=1.0, Recall=0.031
TPCH_QUERY3_TOP2_FROM10, FD, Precision=1.0, Recall=0.031
TPCH_QUERY3_TOP2_FROM10, FDP_Plus, Precision=1.0, Recall=0.031
,,,
TPCH_QUERY3_TOP3_FROM10, Intersection, Precision=0.0, Recall=0.0
TPCH_QUERY3_TOP3_FROM10, Union, Precision=1.0, Recall=0.031
TPCH_QUERY3_TOP3_FROM10, FD, Precision=1.0, Recall=0.031
TPCH_QUERY3_TOP3_FROM10, FDP_Plus, Precision=1.0, Recall=0.031
,,,
TPCH_QUERY3_TOP4_FROM10, Intersection, Precision=0.0, Recall=0.0
TPCH_QUERY3_TOP4_FROM10, Union, Precision=1.0, Recall=0.031
TPCH_QUERY3_TOP4_FROM10, FD, Precision=1.0, Recall=0.031
TPCH_QUERY3_TOP4_FROM10, FDP_Plus, Precision=1.0, Recall=0.031
,,,
TPCH_QUERY3_TOP5_FROM10, Intersection, Precision=0.0, Recall=0.0
TPCH_QUERY3_TOP5_FROM10, Union, Precision=1.0, Recall=0.01
TPCH_QUERY3_TOP5_FROM10, FD, Precision=0.666666666666668, Recall=0.031
TPCH_QUERY3_TOP5_FROM10, FDP_Plus, Precision=0.5000000000000054, Recall=0.031
,,,
TPCH_QUERY3_TOP6_FROM10, Intersection, Precision=0.0, Recall=0.0
TPCH_QUERY3_TOP6_FROM10, Union, Precision=1.0, Recall=0.01
TPCH_QUERY3_TOP6_FROM10, FDP_Plus, Precision=0.3333333333333333, Recall=0.031
,,,
TPCH_QUERY3_TOP7_FROM10, FDP_Plus, Precision=0.2499999999999958, Recall=0.031
,,,
